borough,neighborhood,postal_code
"Scarborough
","Birch Cliff, Cliffside West
","M1N
"
"North York
","Willowdale, Willowdale East
","M2N
"
"North York
","Downsview
","M3N
"
"Central Toronto
","Lawrence Park
","M4N
"
"Central Toronto
","Roselawn
","M5N
"
"York
","Runnymede, The Junction North
","M6N
"
"Not assigned
","Not assigned
","M7N
"
"Not assigned
","Not assigned
","M8N
"
"York
","Weston
","M9N
"
"Scarborough
","Dorset Park, Wexford Heights, Scarborough Town Centre
","M1P
"
"North York
","York Mills West
","M2P
"
"Not assigned
","Not assigned
","M3P
"
"Central Toronto
","Davisville North
","M4P
"
"Central Toronto
","Forest Hill North & West, Forest Hill Road Park
","M5P
"
"West Toronto
","High Park, The Junction South
","M6P
"
"Not assigned
","Not assigned
","M7P
"
"Not assigned
","Not assigned
","M8P
"
"Etobicoke
","Westmount
","M9P
"
"Scarborough
","Wexford, Maryvale
","M1R
"
"North York
","Willowdale, Willowdale West
","M2R
"
"Not assigned
","Not assigned
","M3R
"
"Central Toronto
","North Toronto West,  Lawrence Park
","M4R
"
"Central Toronto
","The Annex, North Midtown, Yorkville
","M5R
"
"West Toronto
","Parkdale, Roncesvalles
","M6R
"
"Mississauga
","Canada Post Gateway Processing Centre
","M7R
"
"Not assigned
","Not assigned
","M8R
"
"Etobicoke
","Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens
","M9R
"
"Scarborough
","Agincourt
","M1S
"
"Not assigned
","Not assigned
","M2S
"
"Not assigned
","Not assigned
","M3S
"
"Central Toronto
","Davisville
","M4S
"
"Downtown Toronto
","University of Toronto, Harbord
","M5S
"
"West Toronto
","Runnymede, Swansea
","M6S
"
"Not assigned
","Not assigned
","M7S
"
"Not assigned
","Not assigned
","M8S
"
"Not assigned
","Not assigned
","M9S
"
"Scarborough
","Clarks Corners, Tam O'Shanter, Sullivan
","M1T
"
"Not assigned
","Not assigned
","M2T
"
"Not assigned
","Not assigned
","M3T
"
"Central Toronto
","Moore Park, Summerhill East
","M4T
"
"Downtown Toronto
","Kensington Market, Chinatown, Grange Park
","M5T
"
"Not assigned
","Not assigned
","M6T
"
"Not assigned
","Not assigned
","M7T
"
"Not assigned
","Not assigned
","M8T
"
"Not assigned
","Not assigned
","M9T
"
"Scarborough
","Milliken, Agincourt North, Steeles East, L'Amoreaux East
","M1V
"
"Not assigned
","Not assigned
","M2V
"
"Not assigned
","Not assigned
","M3V
"
"Central Toronto
","Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park
","M4V
"
"Downtown Toronto
","CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport
","M5V
"
"Not assigned
","Not assigned
","M6V
"
"Not assigned
","Not assigned
","M7V
"
"Etobicoke
","New Toronto, Mimico South, Humber Bay Shores
","M8V
"
"Etobicoke
","South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens
","M9V
"
"Scarborough
","Steeles West, L'Amoreaux West
","M1W
"
"Not assigned
","Not assigned
","M2W
"
"Not assigned
","Not assigned
","M3W
"
"Downtown Toronto
","Rosedale
","M4W
"
"Downtown Toronto
","Stn A PO Boxes
","M5W
"
"Not assigned
","Not assigned
","M6W
"
"Not assigned
","Not assigned
","M7W
"
"Etobicoke
","Alderwood, Long Branch
","M8W
"
"Etobicoke
","Northwest, West Humber - Clairville
","M9W
"
"Scarborough
","Upper Rouge
","M1X
"
"Not assigned
","Not assigned
","M2X
"
"Not assigned
","Not assigned
","M3X
"
"Downtown Toronto
","St. James Town, Cabbagetown
","M4X
"
"Downtown Toronto
","First Canadian Place, Underground city
","M5X
"
"Not assigned
","Not assigned
","M6X
"
"Not assigned
","Not assigned
","M7X
"
"Etobicoke
","The Kingsway, Montgomery Road, Old Mill North
","M8X
"
"Not assigned
","Not assigned
","M9X
"
"Not assigned
","Not assigned
","M1Y
"
"Not assigned
","Not assigned
","M2Y
"
"Not assigned
","Not assigned
","M3Y
"
"Downtown Toronto
","Church and Wellesley
","M4Y
"
"Not assigned
","Not assigned
","M5Y
"
"Not assigned
","Not assigned
","M6Y
"
"East Toronto
","Business reply mail Processing Centre, South Central Letter Processing Plant Toronto
","M7Y
"
"Etobicoke
","Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East
","M8Y
"
"Not assigned
","Not assigned
","M9Y
"
"Not assigned
","Not assigned
","M1Z
"
"Not assigned
","Not assigned
","M2Z
"
"Not assigned
","Not assigned
","M3Z
"
"Not assigned
","Not assigned
","M4Z
"
"Not assigned
","Not assigned
","M5Z
"
"Not assigned
","Not assigned
","M6Z
"
"Not assigned
","Not assigned
","M7Z
"
"Etobicoke
","Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West
","M8Z
"
"Not assigned
","Not assigned
","M9Z
"
